Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,29.0,1.0,29.0,29.0,0.1,44.488000000000014,0.0,0.0,0.013721466064453125,,,,,,,,,,,,,,,,,,,,,20.319237624295234,13.980528323565686,43.986671465154274,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,93.0,2.0,64.0,93.0,0.1,113.47039999999996,0.0,0.0,6.957210063934326,,,,,,,,,,,,,,,,,,,,,51.55632365940572,34.154971125051325,110.39146782999019,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,151.0,3.0,58.0,151.0,0.1,101.07039999999992,0.0,0.0,13.188037872314453,,,,,,,,,,,,,,,,,,,,,45.728495808812525,31.021468440452136,98.61527918618205,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,180.0,4.0,29.0,180.0,0.1,42.25040000000001,0.0,0.0,16.319834232330322,,,,,,,,,,,,,,,,,,,,,18.604958112312712,13.095120926700808,41.794403226793285,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,210.0,5.0,30.0,210.0,0.1,45.68960000000001,0.0,0.0,19.57935118675232,,,,,,,,,,,,,,,,,,,,,20.563908324691965,14.276118087483386,45.16296351432437,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,259.0,6.0,49.0,259.0,0.1,77.05199999999998,0.0,0.0,24.63975501060486,,,,,,,,,,,,,,,,,,,,,34.00858880095583,23.248589648576225,75.53657676570782,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,290.0,7.0,31.0,290.0,0.1,44.43280000000002,0.0,0.0,28.066187381744385,,,,,,,,,,,,,,,,,,,,,19.182645624256498,13.617118206095961,43.92594595160529,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,319.0,8.0,29.0,319.0,0.1,41.29120000000002,0.0,0.0,31.316574573516846,,,,,,,,,,,,,,,,,,,,,18.47029980557506,12.826214868903389,40.83719485815978,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,362.0,9.0,43.0,362.0,0.1,71.60959999999997,0.0,0.0,35.78063178062439,,,,,,,,,,,,,,,,,,,,,32.6209975963257,22.139922151678636,70.34752179943504,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,411.0,10.0,49.0,411.0,0.1,70.49679999999996,0.0,0.0,40.90305972099304,,,,,,,,,,,,,,,,,,,,,30.134448840576773,21.10085690907474,69.15845976788775,0.8015999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
